[2026-06-22T23:08:54.572Z] GET https://spheraeducacional.com.br/integracao → 404 (365ms, 1187B)
[2026-06-22T23:08:54.992Z] GET https://spheraeducacional.com.br/lwerror/css/main.css → 200 (130ms, 19895B)
[2026-06-22T23:08:54.992Z] GET https://spheraeducacional.com.br/lwerror/css/dominio.css → 200 (132ms, 5695B)
[2026-06-22T23:08:54.992Z] GET https://spheraeducacional.com.br/lwerror/js/vendors/vendor.min.js → 200 (261ms, 98667B)
[2026-06-22T23:08:54.993Z] GET https://spheraeducacional.com.br/lwerror/js/vendors/modernizr.js → 200 (257ms, 11380B)
[2026-06-22T23:08:54.993Z] GET https://spheraeducacional.com.br/lwerror/js/main.js → 200 (256ms, 4455B)
[2026-06-22T23:08:55.235Z] GET https://spheraeducacional.com.br/lwerror/images/logo.png → 200 (7ms, 2947B)
[2026-06-22T23:08:55.235Z] GET https://spheraeducacional.com.br/lwerror/images/pag-construcao.gif → 200 (9ms, ?B)
[2026-06-22T23:08:55.235Z] GET https://fonts.gstatic.com/s/ubuntu/v11/4iCv6KVjbNBYlgoCjC3jsGyI.ttf → pending (?ms, ?B)
[2026-06-22T23:08:55.235Z] GET https://fonts.gstatic.com/s/ubuntu/v11/4iCv6KVjbNBYlgoCxCvjsGyI.ttf → pending (?ms, ?B)
[2026-06-22T23:08:55.236Z] GET https://fonts.gstatic.com/s/ubuntu/v11/4iCs6KVjbNBYlgoKfw7z.ttf → pending (?ms, ?B)
[2026-06-22T23:09:01.958Z] GET https://spheraeducacional.com.br/ → 200 (55ms, 323B)
[2026-06-22T23:09:02.047Z] GET https://www.spheraeducacional.com.br/ → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/bootstrap/css/bootstrap.min.css → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/style.css → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://fonts.googleapis.com/css2?family=Material+Symbols+Outlined:opsz,wght,FILL,GRAD@20..48,100..700,0..1,-50..200 → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://fonts.googleapis.com/css2?family=Lato:wght@300;400;700;900&display=swap → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/numberRush/number-rush.js → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/logo.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/banner1-black.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/banner-2.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/banner-3.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/banner-mobile-1.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/banner-mobile-2.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/banner-mobile-3.png → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/triangule.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/code_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/benchmark_3.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/benchmark_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/management_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/benchmark_2.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/vpn_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.311Z] GET https://www.spheraeducacional.com.br/assets/images/icons/application_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.312Z] GET https://www.spheraeducacional.com.br/assets/images/icons/sale_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/courses_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/ui_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/chart_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/save_money_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/accessibility_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/certificates_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/growth_1.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/lcd_2_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/lcd_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/tick_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/chart_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/repair_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/ui_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/benchmark_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.315Z] GET https://www.spheraeducacional.com.br/assets/images/icons/vpn_1_white.svg → pending (?ms, ?B)
[2026-06-22T23:09:03.316Z] GET https://www.spheraeducacional.com.br/assets/images/logo-branca.png → pending (?ms, ?B)
[2026-06-22T23:09:03.316Z] GET https://www.spheraeducacional.com.br/assets/images/icons/instagram-icon.png → pending (?ms, ?B)
[2026-06-22T23:09:03.316Z] GET https://www.spheraeducacional.com.br/assets/images/icons/facebook-icon.png → pending (?ms, ?B)
[2026-06-22T23:09:03.316Z] GET https://www.spheraeducacional.com.br/assets/images/icons/linkedin-icon.png → pending (?ms, ?B)
[2026-06-22T23:09:03.316Z] GET https://www.spheraeducacional.com.br/assets/bootstrap/js/bootstrap.min.js → pending (?ms, ?B)
[2026-06-22T23:09:06.336Z] GET https://www.spheraeducacional.com.br/assets/images/icons/icon_bg.svg → pending (?ms, ?B)
[2026-06-22T23:09:06.336Z] GET https://fonts.gstatic.com/s/lato/v25/S6uyw4BMUTPHjx4wXg.woff2 → pending (?ms, ?B)
[2026-06-22T23:09:06.336Z] GET https://fonts.gstatic.com/s/lato/v25/S6u9w4BMUTPHh6UVSwiPGQ.woff2 → pending (?ms, ?B)
[2026-06-22T23:09:06.409Z] GET https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0 → 200 (323ms, 67217B)
[2026-06-22T23:09:06.409Z] GET https://fonts.gstatic.com/s/materialsymbolsoutlined/v351/kJEhBvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oFsI.woff2 → pending (?ms, ?B)
